Raw Acc: , -0 , -0 , 1 , Grav: , -0.206 , 0.34 , 0.944 
Raw Acc: , -0.001 , -0.002 , 1 , Grav: , -0.213 , 0.347 , 0.955 
Raw Acc: , -0.003 , -0.01 , 1 , Grav: , -0.207 , 0.338 , 0.945 
Raw Acc: , -0.006 , -0.02 , 1 , Grav: , -0.227 , 0.343 , 0.953 
Raw Acc: , -0.009 , -0.03 , 1 , Grav: , -0.219 , 0.33 , 0.932 
Raw Acc: , -0.013 , -0.041 , 0.999 , Grav: , -0.203 , 0.339 , 0.948 
Raw Acc: , -0.016 , -0.052 , 0.998 , Grav: , -0.204 , 0.34 , 0.959 
Raw Acc: , -0.02 , -0.064 , 0.998 , Grav: , -0.217 , 0.344 , 0.956 
Raw Acc: , -0.023 , -0.077 , 0.997 , Grav: , -0.208 , 0.345 , 0.933 
Raw Acc: , -0.027 , -0.089 , 0.996 , Grav: , -0.222 , 0.334 , 0.934 
Raw Acc: , -0.03 , -0.101 , 0.994 , Grav: , -0.22 , 0.331 , 0.954 
Raw Acc: , -0.034 , -0.115 , 0.993 , Grav: , -0.211 , 0.336 , 0.942 
Raw Acc: , -0.039 , -0.129 , 0.991 , Grav: , -0.214 , 0.344 , 0.942 
Raw Acc: , -0.043 , -0.143 , 0.989 , Grav: , -0.223 , 0.33 , 0.953 
Raw Acc: , -0.047 , -0.159 , 0.986 , Grav: , -0.214 , 0.337 , 0.937 
Raw Acc: , -0.051 , -0.174 , 0.983 , Grav: , -0.215 , 0.336 , 0.99 
Raw Acc: , -0.056 , -0.189 , 0.98 , Grav: , -0.211 , 0.325 , 0.945 
Raw Acc: , -0.06 , -0.206 , 0.977 , Grav: , -0.206 , 0.338 , 0.956 
Raw Acc: , -0.065 , -0.223 , 0.973 , Grav: , -0.216 , 0.335 , 0.93 
Raw Acc: , -0.07 , -0.24 , 0.968 , Grav: , -0.227 , 0.339 , 0.936 
Raw Acc: , -0.075 , -0.258 , 0.963 , Grav: , -0.216 , 0.339 , 0.949 
Raw Acc: , -0.079 , -0.277 , 0.958 , Grav: , -0.2 , 0.343 , 0.934 
Raw Acc: , -0.084 , -0.297 , 0.951 , Grav: , -0.211 , 0.343 , 0.949 
Raw Acc: , -0.089 , -0.316 , 0.945 , Grav: , -0.216 , 0.328 , 0.939 
Raw Acc: , -0.093 , -0.337 , 0.937 , Grav: , -0.211 , 0.343 , 0.952 
Raw Acc: , -0.098 , -0.358 , 0.929 , Grav: , -0.202 , 0.337 , 0.945 
Raw Acc: , -0.103 , -0.379 , 0.92 , Grav: , -0.219 , 0.329 , 0.965 
Raw Acc: , -0.109 , -0.4 , 0.91 , Grav: , -0.216 , 0.336 , 0.949 
Raw Acc: , -0.114 , -0.422 , 0.899 , Grav: , -0.206 , 0.335 , 0.957 
Raw Acc: , -0.12 , -0.444 , 0.888 , Grav: , -0.216 , 0.327 , 0.943 
Raw Acc: , -0.125 , -0.467 , 0.876 , Grav: , -0.213 , 0.333 , 0.936 
Raw Acc: , -0.13 , -0.49 , 0.862 , Grav: , -0.21 , 0.351 , 0.949 
Raw Acc: , -0.135 , -0.514 , 0.847 , Grav: , -0.208 , 0.323 , 0.883 
Raw Acc: , -0.139 , -0.538 , 0.831 , Grav: , -0.22 , 0.335 , 0.952 
Raw Acc: , -0.144 , -0.563 , 0.814 , Grav: , -0.197 , 0.339 , 0.943 
Raw Acc: , -0.149 , -0.587 , 0.796 , Grav: , -0.211 , 0.339 , 0.938 
Raw Acc: , -0.153 , -0.611 , 0.777 , Grav: , -0.221 , 0.339 , 0.954 
Raw Acc: , -0.157 , -0.635 , 0.757 , Grav: , -0.218 , 0.334 , 0.938 
Raw Acc: , -0.161 , -0.659 , 0.735 , Grav: , -0.224 , 0.341 , 0.952 
Raw Acc: , -0.164 , -0.683 , 0.711 , Grav: , -0.215 , 0.33 , 0.939 
Raw Acc: , -0.168 , -0.707 , 0.687 , Grav: , -0.211 , 0.331 , 0.956 
Raw Acc: , -0.171 , -0.731 , 0.661 , Grav: , -0.2 , 0.338 , 0.954 
Raw Acc: , -0.174 , -0.753 , 0.634 , Grav: , -0.217 , 0.331 , 0.936 
Raw Acc: , -0.176 , -0.776 , 0.606 , Grav: , -0.218 , 0.344 , 0.946 
Raw Acc: , -0.177 , -0.797 , 0.577 , Grav: , -0.211 , 0.34 , 0.94 
Raw Acc: , -0.179 , -0.818 , 0.546 , Grav: , -0.211 , 0.332 , 0.946 
Raw Acc: , -0.18 , -0.838 , 0.514 , Grav: , -0.217 , 0.337 , 0.945 
Raw Acc: , -0.181 , -0.858 , 0.481 , Grav: , -0.208 , 0.345 , 0.966 
Raw Acc: , -0.182 , -0.876 , 0.447 , Grav: , -0.207 , 0.338 , 0.936 
Raw Acc: , -0.181 , -0.893 , 0.412 , Grav: , -0.218 , 0.326 , 0.944 
Raw Acc: , -0.18 , -0.908 , 0.377 , Grav: , -0.21 , 0.344 , 0.952 
Raw Acc: , -0.18 , -0.923 , 0.341 , Grav: , -0.201 , 0.327 , 0.997 
Raw Acc: , -0.178 , -0.936 , 0.304 , Grav: , -0.227 , 0.329 , 0.893 
Raw Acc: , -0.176 , -0.948 , 0.266 , Grav: , -0.219 , 0.332 , 0.962 
Raw Acc: , -0.174 , -0.958 , 0.228 , Grav: , -0.208 , 0.322 , 0.943 
Raw Acc: , -0.171 , -0.967 , 0.189 , Grav: , -0.213 , 0.333 , 0.953 
Raw Acc: , -0.168 , -0.974 , 0.15 , Grav: , -0.209 , 0.328 , 0.945 
Raw Acc: , -0.163 , -0.98 , 0.112 , Grav: , -0.201 , 0.341 , 0.946 
Raw Acc: , -0.159 , -0.985 , 0.074 , Grav: , -0.216 , 0.342 , 0.931 
Raw Acc: , -0.153 , -0.988 , 0.037 , Grav: , -0.227 , 0.343 , 0.951 
Raw Acc: , -0.148 , -0.989 , -0.001 , Grav: , -0.222 , 0.325 , 0.986 
Raw Acc: , -0.142 , -0.989 , -0.04 , Grav: , -0.21 , 0.332 , 0.946 
Raw Acc: , -0.136 , -0.988 , -0.077 , Grav: , -0.215 , 0.332 , 0.962 
Raw Acc: , -0.13 , -0.985 , -0.113 , Grav: , -0.205 , 0.327 , 0.947 
Raw Acc: , -0.124 , -0.981 , -0.15 , Grav: , -0.211 , 0.331 , 0.944 
Raw Acc: , -0.117 , -0.976 , -0.184 , Grav: , -0.221 , 0.324 , 0.966 
Raw Acc: , -0.11 , -0.97 , -0.218 , Grav: , -0.206 , 0.338 , 0.942 
Raw Acc: , -0.102 , -0.963 , -0.251 , Grav: , -0.204 , 0.336 , 0.947 
Raw Acc: , -0.094 , -0.955 , -0.283 , Grav: , -0.228 , 0.333 , 0.946 
Raw Acc: , -0.086 , -0.946 , -0.314 , Grav: , -0.213 , 0.336 , 0.94 
Raw Acc: , -0.078 , -0.936 , -0.343 , Grav: , -0.217 , 0.341 , 0.926 
Raw Acc: , -0.069 , -0.925 , -0.372 , Grav: , -0.222 , 0.33 , 0.941 
Raw Acc: , -0.061 , -0.914 , -0.4 , Grav: , -0.218 , 0.333 , 0.953 
Raw Acc: , -0.053 , -0.903 , -0.426 , Grav: , -0.201 , 0.346 , 0.943 
Raw Acc: , -0.045 , -0.891 , -0.452 , Grav: , -0.21 , 0.346 , 0.956 
Raw Acc: , -0.037 , -0.879 , -0.476 , Grav: , -0.219 , 0.332 , 0.94 
Raw Acc: , -0.03 , -0.866 , -0.5 , Grav: , -0.21 , 0.33 , 0.939 
Raw Acc: , -0.022 , -0.852 , -0.522 , Grav: , -0.208 , 0.334 , 0.94 
Raw Acc: , -0.015 , -0.839 , -0.544 , Grav: , -0.198 , 0.335 , 0.963 
Raw Acc: , -0.007 , -0.826 , -0.564 , Grav: , -0.206 , 0.336 , 0.952 
Raw Acc: , 0 , -0.813 , -0.583 , Grav: , -0.211 , 0.338 , 0.94 
Raw Acc: , 0.008 , -0.799 , -0.601 , Grav: , -0.232 , 0.335 , 0.937 
Raw Acc: , 0.015 , -0.786 , -0.618 , Grav: , -0.207 , 0.329 , 0.956 
Raw Acc: , 0.022 , -0.772 , -0.635 , Grav: , -0.218 , 0.326 , 0.938 
Raw Acc: , 0.028 , -0.759 , -0.651 , Grav: , -0.209 , 0.334 , 0.949 
Raw Acc: , 0.034 , -0.745 , -0.666 , Grav: , -0.209 , 0.341 , 0.959 
Raw Acc: , 0.04 , -0.732 , -0.68 , Grav: , -0.205 , 0.325 , 0.928 
Raw Acc: , 0.047 , -0.72 , -0.692 , Grav: , -0.211 , 0.335 , 0.884 
Raw Acc: , 0.053 , -0.708 , -0.705 , Grav: , -0.201 , 0.335 , 0.953 
Raw Acc: , 0.058 , -0.695 , -0.716 , Grav: , -0.201 , 0.341 , 0.945 
Raw Acc: , 0.064 , -0.683 , -0.727 , Grav: , -0.216 , 0.341 , 0.94 
Raw Acc: , 0.069 , -0.671 , -0.738 , Grav: , -0.213 , 0.337 , 0.96 
Raw Acc: , 0.075 , -0.66 , -0.748 , Grav: , -0.209 , 0.336 , 0.936 
Raw Acc: , 0.08 , -0.649 , -0.757 , Grav: , -0.209 , 0.334 , 0.938 
Raw Acc: , 0.085 , -0.638 , -0.766 , Grav: , -0.213 , 0.337 , 0.959 
Raw Acc: , 0.09 , -0.627 , -0.774 , Grav: , -0.223 , 0.335 , 0.943 
Raw Acc: , 0.094 , -0.616 , -0.782 , Grav: , -0.214 , 0.341 , 0.946 
Raw Acc: , 0.098 , -0.605 , -0.79 , Grav: , -0.217 , 0.331 , 0.999 
Raw Acc: , 0.101 , -0.595 , -0.797 , Grav: , -0.197 , 0.326 , 0.947 
Raw Acc: , 0.105 , -0.585 , -0.804 , Grav: , -0.201 , 0.331 , 0.946 
Raw Acc: , 0.109 , -0.576 , -0.81 , Grav: , -0.21 , 0.335 , 0.945 
Raw Acc: , 0.112 , -0.567 , -0.816 , Grav: , -0.21 , 0.343 , 0.959 
Raw Acc: , 0.117 , -0.559 , -0.821 , Grav: , -0.222 , 0.336 , 0.938 
Raw Acc: , 0.121 , -0.55 , -0.826 , Grav: , -0.225 , 0.328 , 0.95 
Raw Acc: , 0.124 , -0.542 , -0.831 , Grav: , -0.22 , 0.335 , 0.953 
Raw Acc: , 0.127 , -0.534 , -0.836 , Grav: , -0.201 , 0.342 , 0.962 
Raw Acc: , 0.13 , -0.526 , -0.841 , Grav: , -0.202 , 0.325 , 0.937 
Raw Acc: , 0.133 , -0.518 , -0.845 , Grav: , -0.215 , 0.336 , 0.937 
Raw Acc: , 0.136 , -0.511 , -0.849 , Grav: , -0.209 , 0.331 , 0.938 
Raw Acc: , 0.139 , -0.504 , -0.852 , Grav: , -0.213 , 0.335 , 0.944 
Raw Acc: , 0.142 , -0.497 , -0.856 , Grav: , -0.21 , 0.331 , 0.957 
Raw Acc: , 0.144 , -0.491 , -0.859 , Grav: , -0.209 , 0.322 , 0.943 
Raw Acc: , 0.147 , -0.485 , -0.862 , Grav: , -0.21 , 0.341 , 0.942 
Raw Acc: , 0.149 , -0.479 , -0.865 , Grav: , -0.223 , 0.343 , 0.961 
Raw Acc: , 0.152 , -0.473 , -0.868 , Grav: , -0.22 , 0.325 , 0.929 
Raw Acc: , 0.154 , -0.466 , -0.871 , Grav: , -0.214 , 0.332 , 0.994 
Raw Acc: , 0.156 , -0.461 , -0.874 , Grav: , -0.216 , 0.34 , 0.959 
Raw Acc: , 0.158 , -0.456 , -0.876 , Grav: , -0.209 , 0.323 , 0.945 
Raw Acc: , 0.16 , -0.451 , -0.878 , Grav: , -0.212 , 0.344 , 0.946 
Raw Acc: , 0.162 , -0.446 , -0.88 , Grav: , -0.209 , 0.334 , 0.928 
Raw Acc: , 0.164 , -0.441 , -0.882 , Grav: , -0.227 , 0.325 , 0.96 
Raw Acc: , 0.166 , -0.437 , -0.884 , Grav: , -0.21 , 0.333 , 0.934 
Raw Acc: , 0.167 , -0.433 , -0.886 , Grav: , -0.213 , 0.347 , 0.95 
Raw Acc: , 0.169 , -0.429 , -0.888 , Grav: , -0.224 , 0.329 , 0.968 
Raw Acc: , 0.171 , -0.425 , -0.889 , Grav: , -0.208 , 0.332 , 0.931 
Raw Acc: , 0.172 , -0.421 , -0.891 , Grav: , -0.215 , 0.338 , 0.99 
Raw Acc: , 0.173 , -0.417 , -0.892 , Grav: , -0.209 , 0.327 , 0.944 
Raw Acc: , 0.174 , -0.413 , -0.894 , Grav: , -0.203 , 0.33 , 0.955 
Raw Acc: , 0.175 , -0.41 , -0.895 , Grav: , -0.208 , 0.338 , 0.931 
Raw Acc: , 0.177 , -0.406 , -0.896 , Grav: , -0.214 , 0.33 , 0.935 
Raw Acc: , 0.178 , -0.404 , -0.897 , Grav: , -0.221 , 0.336 , 0.937 
Raw Acc: , 0.179 , -0.401 , -0.898 , Grav: , -0.206 , 0.327 , 0.922 
Raw Acc: , 0.181 , -0.397 , -0.9 , Grav: , -0.22 , 0.331 , 0.958 
Raw Acc: , 0.182 , -0.394 , -0.901 , Grav: , -0.213 , 0.326 , 0.941 
Raw Acc: , 0.183 , -0.392 , -0.902 , Grav: , -0.215 , 0.336 , 0.957 
Raw Acc: , 0.184 , -0.389 , -0.903 , Grav: , -0.212 , 0.331 , 0.945 
Raw Acc: , 0.185 , -0.386 , -0.904 , Grav: , -0.223 , 0.326 , 0.952 
Raw Acc: , 0.186 , -0.384 , -0.904 , Grav: , -0.212 , 0.341 , 0.951 
Raw Acc: , 0.186 , -0.381 , -0.905 , Grav: , -0.206 , 0.331 , 0.949 
Raw Acc: , 0.187 , -0.379 , -0.906 , Grav: , -0.208 , 0.343 , 0.962 
Raw Acc: , 0.187 , -0.377 , -0.907 , Grav: , -0.208 , 0.34 , 0.946 
Raw Acc: , 0.188 , -0.375 , -0.908 , Grav: , -0.207 , 0.341 , 0.948 
Raw Acc: , 0.189 , -0.374 , -0.908 , Grav: , -0.212 , 0.329 , 0.933 
Raw Acc: , 0.19 , -0.372 , -0.909 , Grav: , -0.226 , 0.328 , 0.953 
Raw Acc: , 0.191 , -0.37 , -0.909 , Grav: , -0.203 , 0.332 , 0.946 
Raw Acc: , 0.192 , -0.368 , -0.91 , Grav: , -0.217 , 0.33 , 0.945 
Raw Acc: , 0.192 , -0.366 , -0.911 , Grav: , -0.212 , 0.334 , 0.949 
Raw Acc: , 0.192 , -0.364 , -0.911 , Grav: , -0.211 , 0.338 , 0.943 
Raw Acc: , 0.193 , -0.363 , -0.912 , Grav: , -0.203 , 0.341 , 0.936 
Raw Acc: , 0.193 , -0.362 , -0.912 , Grav: , -0.211 , 0.337 , 0.944 
Raw Acc: , 0.194 , -0.361 , -0.912 , Grav: , -0.219 , 0.34 , 0.951 
Raw Acc: , 0.195 , -0.361 , -0.912 , Grav: , -0.212 , 0.347 , 0.961 
Raw Acc: , 0.197 , -0.36 , -0.912 , Grav: , -0.23 , 0.329 , 0.875 
Raw Acc: , 0.197 , -0.358 , -0.913 , Grav: , -0.22 , 0.338 , 0.946 
Raw Acc: , 0.197 , -0.356 , -0.914 , Grav: , -0.2 , 0.334 , 0.957 
Raw Acc: , 0.197 , -0.354 , -0.914 , Grav: , -0.211 , 0.321 , 0.945 
Raw Acc: , 0.196 , -0.353 , -0.915 , Grav: , -0.198 , 0.333 , 0.963 
Raw Acc: , 0.197 , -0.353 , -0.915 , Grav: , -0.21 , 0.336 , 0.963 
Raw Acc: , 0.198 , -0.352 , -0.915 , Grav: , -0.213 , 0.343 , 0.927 
Raw Acc: , 0.198 , -0.351 , -0.915 , Grav: , -0.205 , 0.337 , 0.941 
Raw Acc: , 0.198 , -0.35 , -0.915 , Grav: , -0.207 , 0.322 , 0.935 
Raw Acc: , 0.198 , -0.348 , -0.916 , Grav: , -0.198 , 0.325 , 0.989 
Raw Acc: , 0.198 , -0.347 , -0.917 , Grav: , -0.217 , 0.338 , 0.967 
Raw Acc: , 0.198 , -0.346 , -0.917 , Grav: , -0.212 , 0.33 , 0.959 
Raw Acc: , 0.199 , -0.345 , -0.917 , Grav: , -0.211 , 0.33 , 0.932 
Raw Acc: , 0.199 , -0.345 , -0.917 , Grav: , -0.216 , 0.338 , 0.934 
Raw Acc: , 0.199 , -0.344 , -0.918 , Grav: , -0.213 , 0.328 , 0.953 
Raw Acc: , 0.199 , -0.343 , -0.918 , Grav: , -0.196 , 0.324 , 0.937 
Raw Acc: , 0.199 , -0.342 , -0.918 , Grav: , -0.218 , 0.341 , 0.948 
Raw Acc: , 0.199 , -0.341 , -0.919 , Grav: , -0.213 , 0.339 , 0.957 
Raw Acc: , 0.2 , -0.341 , -0.918 , Grav: , -0.213 , 0.338 , 0.94 
Raw Acc: , 0.2 , -0.34 , -0.919 , Grav: , -0.205 , 0.338 , 0.997 
Raw Acc: , 0.2 , -0.34 , -0.919 , Grav: , -0.215 , 0.331 , 0.955 
Raw Acc: , 0.2 , -0.34 , -0.919 , Grav: , -0.203 , 0.335 , 0.954 
Raw Acc: , 0.2 , -0.339 , -0.919 , Grav: , -0.205 , 0.344 , 0.956 
Raw Acc: , 0.201 , -0.339 , -0.919 , Grav: , -0.222 , 0.331 , 0.933 
Raw Acc: , 0.2 , -0.337 , -0.92 , Grav: , -0.197 , 0.324 , 0.955 
Raw Acc: , 0.2 , -0.337 , -0.92 , Grav: , -0.205 , 0.332 , 0.942 
Raw Acc: , 0.2 , -0.336 , -0.92 , Grav: , -0.207 , 0.337 , 0.955 
Raw Acc: , 0.2 , -0.336 , -0.92 , Grav: , -0.211 , 0.333 , 0.946 
Raw Acc: , 0.201 , -0.336 , -0.92 , Grav: , -0.2 , 0.326 , 0.88 
Raw Acc: , 0.202 , -0.336 , -0.92 , Grav: , -0.222 , 0.338 , 0.932 
Raw Acc: , 0.202 , -0.336 , -0.92 , Grav: , -0.213 , 0.328 , 0.946 
Raw Acc: , 0.201 , -0.335 , -0.92 , Grav: , -0.204 , 0.33 , 0.958 
Raw Acc: , 0.202 , -0.334 , -0.921 , Grav: , -0.213 , 0.331 , 0.953 
Raw Acc: , 0.201 , -0.334 , -0.921 , Grav: , -0.211 , 0.337 , 0.95 
Raw Acc: , 0.201 , -0.334 , -0.921 , Grav: , -0.206 , 0.336 , 0.934 
Raw Acc: , 0.201 , -0.334 , -0.921 , Grav: , -0.206 , 0.338 , 0.936 
Raw Acc: , 0.202 , -0.333 , -0.921 , Grav: , -0.218 , 0.332 , 0.957 
Raw Acc: , 0.202 , -0.333 , -0.921 , Grav: , -0.208 , 0.34 , 0.957 
Raw Acc: , 0.202 , -0.333 , -0.921 , Grav: , -0.215 , 0.336 , 0.942 
Raw Acc: , 0.203 , -0.333 , -0.921 , Grav: , -0.228 , 0.334 , 0.953 
Raw Acc: , 0.203 , -0.332 , -0.921 , Grav: , -0.211 , 0.328 , 0.941 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.198 , 0.341 , 0.945 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.21 , 0.343 , 0.953 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.206 , 0.323 , 0.953 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.21 , 0.343 , 0.943 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.206 , 0.332 , 0.937 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.213 , 0.333 , 0.948 
Raw Acc: , 0.202 , -0.331 , -0.922 , Grav: , -0.198 , 0.334 , 0.945 
Raw Acc: , 0.202 , -0.331 , -0.922 , Grav: , -0.216 , 0.332 , 0.944 
Raw Acc: , 0.203 , -0.331 , -0.922 , Grav: , -0.212 , 0.33 , 0.941 
Raw Acc: , 0.203 , -0.331 , -0.921 , Grav: , -0.217 , 0.34 , 0.941 
Raw Acc: , 0.203 , -0.331 , -0.921 , Grav: , -0.21 , 0.339 , 0.936 
Raw Acc: , 0.203 , -0.331 , -0.921 , Grav: , -0.214 , 0.331 , 0.932 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.216 , 0.326 , 0.956 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.21 , 0.344 , 0.964 
Raw Acc: , 0.204 , -0.33 , -0.922 , Grav: , -0.219 , 0.348 , 0.96 
Raw Acc: , 0.204 , -0.33 , -0.922 , Grav: , -0.214 , 0.33 , 0.942 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.207 , 0.335 , 0.955 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.208 , 0.333 , 0.966 
Raw Acc: , 0.204 , -0.33 , -0.922 , Grav: , -0.213 , 0.322 , 0.933 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.212 , 0.338 , 0.955 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.22 , 0.338 , 0.941 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.214 , 0.331 , 0.95 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.211 , 0.329 , 0.938 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.202 , 0.342 , 0.949 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.209 , 0.335 , 0.959 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.217 , 0.331 , 0.947 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.21 , 0.332 , 0.93 
Raw Acc: , 0.205 , -0.328 , -0.922 , Grav: , -0.214 , 0.336 , 0.95 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.207 , 0.338 , 0.954 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.203 , 0.339 , 0.948 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.212 , 0.333 , 0.946 
Raw Acc: , 0.205 , -0.328 , -0.922 , Grav: , -0.223 , 0.341 , 0.957 
Raw Acc: , 0.204 , -0.328 , -0.923 , Grav: , -0.203 , 0.331 , 0.996 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.201 , 0.331 , 0.886 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.215 , 0.33 , 0.956 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.211 , 0.337 , 0.948 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.209 , 0.329 , 0.937 
Raw Acc: , 0.205 , -0.327 , -0.922 , Grav: , -0.227 , 0.33 , 0.961 
Raw Acc: , 0.205 , -0.327 , -0.922 , Grav: , -0.219 , 0.325 , 0.938 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.196 , 0.327 , 0.933 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.212 , 0.331 , 0.943 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.209 , 0.332 , 0.947 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.211 , 0.344 , 0.956 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.207 , 0.328 , 0.935 
Raw Acc: , 0.205 , -0.327 , -0.923 , Grav: , -0.214 , 0.33 , 0.943 
Raw Acc: , 0.204 , -0.327 , -0.923 , Grav: , -0.194 , 0.34 , 0.953 
Raw Acc: , 0.204 , -0.327 , -0.923 , Grav: , -0.204 , 0.333 , 0.954 
